model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 A4,2019,29698,Automatic,1996,Petrol,145,39.2,2.0
 Q3,2015,14498,Manual,29850,Diesel,30,61.4,2.0
 A6,2016,14498,Semi-Auto,49458,Diesel,30,61.4,2.0
 A4,2018,23950,Semi-Auto,19288,Diesel,145,61.4,2.0
 A4,2018,23995,Semi-Auto,19300,Diesel,145,61.4,2.0
 A4,2016,14995,Manual,41100,Diesel,0,74.3,2.0
 Q3,2017,17954,Semi-Auto,21178,Petrol,150,47.9,1.4
 A3,2019,21995,Manual,5423,Diesel,145,55.4,2.0
 A1,2017,15995,Semi-Auto,23496,Diesel,150,70.6,1.6
 Q3,2019,27444,Manual,1786,Diesel,150,42.8,2.0
 A1,2020,25444,Semi-Auto,1500,Petrol,145,44.8,1.5
 A6,2019,38444,Automatic,2000,Petrol,145,34.0,2.0
 A4,2019,39990,Automatic,8000,Diesel,145,40.4,3.0
 Q3,2016,19498,Manual,10855,Diesel,160,49.6,2.0
 A5,2016,17498,Semi-Auto,32012,Diesel,150,56.5,2.0
 A3,2013,9698,Semi-Auto,45618,Diesel,30,62.8,2.0
 Q3,2016,16998,Manual,39882,Diesel,145,52.3,2.0
 A5,2018,25850,Automatic,6541,Diesel,145,65.7,2.0
 Q2,2019,20350,Manual,2970,Petrol,145,47.1,1.0
 A6,2015,15998,Semi-Auto,39549,Diesel,30,64.2,2.0
 A6,2016,18998,Semi-Auto,43565,Diesel,125,58.9,2.0
 A6,2016,18498,Manual,31300,Diesel,30,61.4,2.0
 A3,2015,13298,Manual,40321,Diesel,20,68.9,2.0
 TT,2015,15998,Manual,21725,Petrol,145,47.9,2.0
 A5,2016,17498,Semi-Auto,37978,Diesel,165,52.3,2.0
 A1,2019,18495,Manual,4636,Petrol,145,50.4,1.0
 TT,2019,26995,Automatic,6137,Petrol,145,40.4,2.0
 A6,2019,31500,Automatic,6001,Diesel,145,47.9,2.0
 Q3,2019,27888,Manual,2054,Diesel,145,42.8,2.0
 A1,2016,11990,Manual,14946,Petrol,30,57.6,1.4
 Q5,2019,50950,Automatic,4000,Diesel,145,34.5,3.0
 A5,2017,23850,Semi-Auto,31286,Diesel,125,60.1,3.0
 A4,2018,18450,Manual,15072,Petrol,145,52.3,1.4
 A1,2019,19990,Automatic,3826,Petrol,145,47.1,1.0
 A3,2018,20999,Automatic,3954,Petrol,145,56.5,1.5
 Q3,2016,19495,Semi-Auto,25204,Diesel,145,51.4,2.0
 Q2,2017,19995,Automatic,31952,Diesel,145,57.7,2.0
 Q3,2019,29444,Semi-Auto,6249,Diesel,145,38.7,2.0
 A1,2019,19990,Automatic,6262,Petrol,145,47.1,1.0
 A1,2017,22750,Manual,18365,Petrol,145,39.8,2.0
 Q2,2017,18850,Semi-Auto,21248,Diesel,145,68.9,1.6
 A1,2018,16990,Manual,8300,Petrol,145,70.6,1.4
 Q2,2019,19888,Manual,4519,Diesel,145,49.6,1.6
 A3,2016,15990,Semi-Auto,27730,Diesel,30,62.8,2.0
 A4,2020,33888,Semi-Auto,4235,Petrol,145,36.2,2.0
 Q2,2020,23888,Semi-Auto,500,Petrol,145,42.2,1.5
 Q2,2019,19190,Manual,4878,Petrol,145,47.1,1.0
 A5,2015,12990,Automatic,43811,Diesel,125,58.9,2.0
 Q3,2019,28490,Semi-Auto,14481,Petrol,145,31.7,2.0
 A3,2019,21490,Automatic,15961,Petrol,145,41.5,1.5
 A3,2016,16490,Semi-Auto,23194,Petrol,30,54.3,1.4
 A7,2016,19990,Semi-Auto,27386,Diesel,125,61.4,3.0
 RS3,2017,36990,Semi-Auto,17889,Petrol,145,34.0,2.5
 A1,2017,19250,Manual,27209,Petrol,145,39.8,2.0
 Q7,2016,32498,Semi-Auto,31022,Diesel,200,47.9,3.0
 A6,2014,14798,Semi-Auto,40700,Diesel,30,64.2,2.0
 A1,2015,9298,Manual,43440,Diesel,0,80.7,1.6
 A1,2016,12298,Manual,30001,Petrol,30,56.5,1.4
 A1,2015,15995,Manual,19523,Petrol,205,40.4,2.0
 Q3,2016,14998,Manual,74381,Diesel,145,52.3,2.0
 A3,2015,12498,Manual,68137,Diesel,30,65.7,2.0
 A5,2016,14998,Semi-Auto,50903,Diesel,125,58.9,2.0
 A4,2016,16131,Semi-Auto,39312,Diesel,30,67.3,2.0
 A3,2017,13298,Manual,68468,Diesel,20,65.7,2.0
 A6,2015,18998,Semi-Auto,49039,Diesel,165,50.4,3.0
 A3,2016,16435,Manual,39537,Diesel,30,64.2,2.0
 Q3,2017,19465,Semi-Auto,32516,Diesel,145,51.4,2.0
 TT,2017,20435,Manual,31587,Diesel,150,60.1,2.0
 A1,2016,11191,Manual,22328,Petrol,30,55.4,1.4
 Q3,2016,15540,Semi-Auto,33015,Petrol,145,47.9,1.4
 A3,2015,9391,Manual,73567,Diesel,0,83.1,1.6
 A6,2016,14598,Manual,81517,Diesel,30,61.4,2.0
 A4,2016,13498,Manual,77061,Diesel,30,67.3,2.0
 A1,2015,10498,Manual,21396,Petrol,0,67.3,1.0
 A5,2015,15698,Semi-Auto,35177,Diesel,125,58.9,2.0
 A1,2015,10198,Manual,36910,Petrol,0,67.3,1.0
 A4,2016,11998,Manual,77976,Diesel,0,74.3,2.0
 A4,2016,13298,Manual,85793,Diesel,30,67.3,2.0
 A4,2016,14998,Manual,32379,Diesel,0,74.3,2.0
 A4,2015,13995,Manual,55036,Diesel,125,58.9,2.0
 A3,2015,11385,Manual,45000,Diesel,20,72.4,1.6
 A5,2015,13890,Semi-Auto,66500,Diesel,125,58.9,2.0
 A4,2017,12898,Manual,72816,Diesel,0,74.3,2.0
 A6,2015,13198,Automatic,91593,Diesel,20,67.3,2.0
 TT,2015,13898,Manual,60362,Diesel,30,62.8,2.0
 Q5,2018,29898,Semi-Auto,13218,Petrol,145,40.4,2.0
 TT,2016,16489,Manual,22688,Petrol,145,47.1,1.8
 Q5,2017,36989,Semi-Auto,37624,Petrol,145,34.0,3.0
 A1,2015,11295,Manual,39502,Petrol,30,58.9,1.4
 Q3,2016,18698,Semi-Auto,30319,Diesel,145,51.4,2.0
 A4,2018,15498,Manual,17047,Petrol,145,53.3,1.4
 Q3,2015,15798,Manual,26308,Diesel,145,56.5,2.0
 A5,2019,25498,Semi-Auto,85,Petrol,145,40.4,2.0
 A4,2016,14798,Manual,51559,Diesel,20,70.6,2.0
 A1,2015,11998,Manual,23081,Petrol,0,67.3,1.0
 A5,2016,24698,Semi-Auto,7355,Petrol,260,35.8,3.0
 A3,2015,14298,Semi-Auto,43793,Diesel,125,61.4,2.0
 A6,2017,18998,Semi-Auto,35786,Diesel,145,64.2,2.0
 Q5,2014,17995,Manual,46573,Petrol,240,37.7,2.0
 A4,2016,15485,Semi-Auto,37188,Diesel,20,72.4,2.0
 A4,2017,14485,Semi-Auto,70500,Diesel,20,72.4,2.0
 A6,2013,13695,Semi-Auto,46206,Diesel,145,55.4,3.0
 Q3,2016,15480,Manual,64842,Diesel,160,49.6,2.0
 Q3,2017,19465,Semi-Auto,26856,Diesel,145,55.4,2.0
 A3,2017,12980,Manual,44573,Diesel,145,67.3,2.0
 A3,2017,18998,Manual,13490,Petrol,145,54.3,1.5
 Q3,2015,14498,Manual,55259,Diesel,125,60.1,2.0
 TT,2017,17498,Manual,13506,Petrol,145,47.1,1.8
 A6,2014,13498,Manual,52037,Diesel,125,57.6,2.0
 A5,2013,11998,Manual,59773,Diesel,30,60.1,2.0
 A1,2015,9898,Manual,40170,Petrol,30,57.6,1.4
 A5,2017,22498,Semi-Auto,27792,Diesel,145,65.7,2.0
 A6,2016,14698,Semi-Auto,57365,Diesel,30,64.2,2.0
 A4,2016,14898,Manual,39824,Diesel,20,70.6,2.0
 Q3,2016,14498,Semi-Auto,74392,Petrol,145,47.9,1.4
 A3,2017,18885,Semi-Auto,41225,Diesel,145,61.4,2.0
 Q2,2017,19990,Semi-Auto,10253,Petrol,145,52.3,1.4
 A6,2016,18440,Semi-Auto,54928,Diesel,125,56.5,3.0
 Q7,2016,27950,Semi-Auto,67181,Diesel,200,47.9,3.0
 A3,2015,14298,Semi-Auto,5322,Petrol,30,58.9,1.4
 A3,2016,15498,Manual,31226,Petrol,30,57.6,1.4
 Q3,2016,17498,Semi-Auto,30738,Petrol,145,47.9,1.4
 Q5,2015,18798,Manual,42180,Diesel,200,47.9,2.0
 Q5,2015,20498,Manual,20274,Diesel,200,47.9,2.0
 A1,2015,10498,Manual,41015,Petrol,0,67.3,1.0
 A3,2014,10998,Manual,50573,Petrol,20,60.1,1.4
 Q3,2016,17898,Manual,15982,Diesel,30,60.1,2.0
 A6,2017,21998,Semi-Auto,21789,Diesel,145,61.4,2.0
 TT,2016,14998,Manual,44069,Diesel,30,62.8,2.0
 Q2,2019,19998,Manual,6612,Diesel,145,49.6,1.6
 A3,2018,15840,Manual,22710,Diesel,145,68.9,1.6
 A6,2018,26995,Semi-Auto,5894,Diesel,145,56.5,2.0
 Q5,2016,19440,Semi-Auto,58767,Diesel,200,47.1,2.0
 Q5,2015,22995,Semi-Auto,66000,Diesel,235,42.8,3.0
 Q3,2017,19465,Semi-Auto,24190,Diesel,145,55.4,2.0
 Q7,2018,48985,Semi-Auto,35800,Diesel,145,39.2,4.0
 A3,2017,12950,Manual,40000,Diesel,145,74.3,1.6
 A5,2017,20650,Automatic,28000,Diesel,20,67.3,2.0
 Q5,2018,28450,Semi-Auto,21000,Diesel,145,56.5,2.0
 Q3,2016,16450,Manual,31000,Diesel,30,60.1,2.0
 A4,2017,15498,Manual,62140,Diesel,145,64.2,2.0
 Q2,2019,26998,Semi-Auto,156,Diesel,150,46.3,2.0
 A1,2019,17690,Manual,8396,Petrol,150,50.4,1.0
 Q3,2014,17998,Semi-Auto,23340,Petrol,260,36.7,2.0
 Q3,2017,17998,Manual,19331,Diesel,125,57.7,2.0
 Q5,2019,35498,Semi-Auto,10,Petrol,145,32.1,2.0
 Q3,2015,16698,Manual,32914,Diesel,145,52.3,2.0
 Q3,2016,16998,Manual,41910,Diesel,145,52.3,2.0
 A3,2017,18498,Semi-Auto,27430,Petrol,145,56.5,1.4
 A6,2016,17498,Semi-Auto,62000,Diesel,30,61.4,2.0
 Q5,2016,19498,Manual,29049,Diesel,200,47.9,2.0
 Q2,2018,18698,Semi-Auto,14974,Diesel,145,68.9,1.6
 A4,2017,14798,Manual,30795,Petrol,145,51.4,1.4
 A3,2016,14998,Manual,41049,Diesel,20,65.7,2.0
 A3,2016,14298,Manual,29709,Petrol,20,60.1,1.4
 Q5,2019,35498,Semi-Auto,21,Petrol,145,32.1,2.0
 Q5,2019,31498,Semi-Auto,28,Petrol,145,33.2,2.0
 Q3,2015,15998,Manual,43734,Diesel,145,52.3,2.0
 Q5,2016,29998,Semi-Auto,42167,Diesel,235,42.2,3.0
 A3,2016,13998,Manual,19048,Petrol,20,60.1,1.0
 A5,2016,16998,Semi-Auto,65483,Diesel,150,56.5,2.0
 A6,2019,26888,Semi-Auto,21343,Diesel,150,50.4,2.0
 A4,2018,19222,Manual,20356,Petrol,150,51.4,1.4
 Q3,2016,18450,Manual,17067,Petrol,145,49.6,1.4
 A3,2017,13390,Manual,26022,Diesel,20,70.6,1.6
 A3,2017,14998,Manual,17666,Petrol,20,60.1,1.4
 A3,2017,20998,Semi-Auto,13344,Petrol,145,56.5,1.5
 A4,2017,18998,Manual,32997,Diesel,145,67.3,2.0
 A1,2016,12298,Manual,23718,Petrol,30,56.5,1.4
 A6,2014,17998,Semi-Auto,57525,Diesel,235,44.8,3.0
 Q5,2013,15998,Semi-Auto,43309,Diesel,200,47.1,2.0
 A4,2018,17698,Manual,23669,Petrol,145,52.3,1.4
 Q3,2016,15998,Manual,31649,Diesel,30,60.1,2.0
 A3,2016,13290,Manual,15056,Petrol,125,53.3,1.4
 Q2,2019,20444,Manual,4667,Diesel,145,49.6,1.6
 A4,2017,17444,Manual,12000,Diesel,145,70.6,2.0
 Q2,2018,20490,Semi-Auto,11489,Petrol,145,52.3,1.4
 Q2,2019,25444,Manual,7801,Diesel,145,46.3,1.6
 A1,2019,21644,Manual,4467,Petrol,150,46.3,1.5
 A5,2014,16990,Semi-Auto,43605,Petrol,300,34.9,3.0
 Q3,2013,10190,Manual,69884,Diesel,145,54.3,2.0
 Q3,2017,19491,Manual,27428,Diesel,145,56.5,2.0
 A1,2016,9578,Manual,42391,Diesel,0,76.3,1.6
 A3,2016,16998,Semi-Auto,32002,Diesel,30,61.4,2.0
 Q2,2017,16298,Manual,24654,Diesel,30,64.2,1.6
 A3,2016,11998,Manual,31952,Diesel,0,83.1,1.6
 A6,2015,17498,Manual,38431,Diesel,30,61.4,2.0
 Q5,2016,19998,Manual,34189,Diesel,200,47.9,2.0
 A4,2017,14298,Manual,57161,Diesel,20,70.6,2.0
 A4,2017,15498,Manual,46147,Diesel,145,70.6,2.0
 A1,2016,9498,Manual,48889,Diesel,0,76.3,1.6
 A6,2014,10917,Manual,80050,Diesel,125,57.6,2.0
 A1,2016,13170,Manual,22225,Petrol,30,56.5,1.4
 RS3,2016,28991,Semi-Auto,28083,Petrol,300,34.9,2.5
 Q3,2018,23650,Semi-Auto,19000,Petrol,145,45.6,1.4
 Q2,2019,19888,Semi-Auto,6837,Diesel,145,47.9,1.6
 Q3,2016,17790,Semi-Auto,24020,Petrol,145,47.9,1.4
 A8,2017,35850,Semi-Auto,32066,Petrol,145,30.1,4.0
 Q3,2016,15990,Manual,25647,Diesel,30,62.8,2.0
 Q7,2019,44990,Semi-Auto,10342,Diesel,145,33.2,3.0
 Q3,2015,13990,Manual,27632,Petrol,125,50.4,1.4
 A6,2016,16990,Manual,35421,Diesel,30,64.2,2.0
 Q3,2016,16290,Manual,38578,Petrol,145,49.6,1.4
 Q2,2019,22444,Manual,4462,Diesel,150,49.6,1.6
 A1,2019,21790,Semi-Auto,5304,Petrol,145,40.9,2.0
 Q2,2019,21490,Manual,3505,Petrol,145,47.1,1.0
 Q7,2017,49490,Semi-Auto,30262,Diesel,145,39.2,4.0
 Q2,2017,18490,Manual,10044,Petrol,145,52.3,1.4
 Q7,2019,56490,Automatic,4000,Diesel,145,33.2,3.0
 Q2,2019,19790,Manual,3047,Diesel,145,49.6,1.6
 Q3,2017,20040,Semi-Auto,23166,Petrol,145,47.9,1.4
 A4,2017,18230,Manual,17450,Diesel,145,67.3,2.0
 Q3,2017,17990,Manual,30949,Diesel,30,61.4,2.0
 A1,2017,11495,Manual,34003,Petrol,0,67.3,1.0
 A4,2016,14995,Manual,30578,Diesel,0,74.3,2.0
 Q3,2015,16498,Manual,28129,Diesel,125,60.1,2.0
 A4,2017,15498,Semi-Auto,51875,Diesel,20,70.6,2.0
 A3,2016,16298,Manual,33279,Petrol,30,60.1,1.4
 Q3,2015,18298,Semi-Auto,31695,Diesel,160,51.4,2.0
 Q2,2017,17990,Manual,12300,Petrol,145,52.3,1.4
 A4,2017,15490,Manual,21541,Diesel,145,74.3,2.0
 Q2,2018,21790,Semi-Auto,10200,Petrol,145,52.3,1.4
 A3,2019,21990,Manual,5843,Diesel,145,55.4,2.0
 Q3,2018,23990,Semi-Auto,23800,Petrol,145,48.7,1.4
 A6,2018,20750,Semi-Auto,21000,Diesel,145,64.2,2.0
 Q3,2019,26888,Manual,1500,Diesel,145,42.8,2.0
 Q3,2019,26888,Manual,1500,Diesel,145,42.8,2.0
 Q3,2019,26888,Manual,1500,Diesel,145,42.8,2.0
 Q2,2019,20999,Manual,5000,Petrol,145,47.1,1.0
 Q5,2019,46999,Semi-Auto,5000,Diesel,145,36.2,2.0
 Q3,2016,18990,Semi-Auto,30245,Diesel,165,50.4,2.0
 A3,2016,13999,Semi-Auto,28307,Diesel,20,72.4,1.6
 Q5,2014,14888,Manual,60173,Diesel,205,47.9,2.0
 A3,2014,11444,Manual,30126,Diesel,20,68.9,2.0
 A7,2015,17888,Semi-Auto,42687,Diesel,150,54.3,3.0
 A6,2019,43490,Semi-Auto,8567,Diesel,150,36.2,3.0
 A1,2017,13222,Manual,16252,Petrol,30,55.4,1.4
 A1,2014,9390,Manual,36478,Petrol,125,52.3,1.4
 TT,2014,16990,Manual,25414,Petrol,150,47.9,2.0
 A3,2015,14898,Manual,45009,Diesel,20,67.3,2.0
 A3,2013,12698,Manual,41442,Petrol,125,53.3,1.4
 Q5,2015,22498,Semi-Auto,75960,Diesel,235,42.8,3.0
 Q3,2013,11498,Manual,61278,Diesel,145,54.3,2.0
 A5,2019,27888,Automatic,1500,Petrol,145,39.8,2.0
 A5,2019,26888,Automatic,1500,Petrol,145,39.8,2.0
 Q3,2019,31888,Automatic,4000,Diesel,145,47.1,2.0
 A5,2019,24888,Automatic,5335,Petrol,145,39.8,2.0
 Q7,2019,54490,Automatic,10500,Diesel,145,32.1,3.0
 Q3,2015,20990,Semi-Auto,24000,Petrol,200,40.4,2.0
 Q7,2018,44999,Automatic,7650,Diesel,145,32.8,3.0
 A1,2016,13888,Manual,16327,Petrol,30,56.5,1.4
 Q3,2016,16990,Semi-Auto,42583,Diesel,150,51.4,2.0
 Q2,2018,20290,Manual,18323,Petrol,150,50.4,1.4
 Q7,2016,30790,Semi-Auto,14727,Diesel,160,48.7,3.0
 A6,2016,18990,Semi-Auto,50687,Diesel,145,56.5,2.0
 Q2,2017,19444,Semi-Auto,14575,Petrol,145,54.3,1.4
 A1,2015,15888,Manual,22148,Petrol,200,40.4,2.0
 A1,2019,19498,Manual,13059,Petrol,145,50.4,1.0
 Q3,2016,15998,Manual,18419,Petrol,125,50.4,1.4
 A6,2015,16998,Semi-Auto,38952,Diesel,125,57.6,2.0
 A6,2016,19998,Semi-Auto,26157,Diesel,125,56.5,3.0
 Q5,2018,43888,Semi-Auto,21017,Petrol,145,34.0,3.0
 Q3,2019,30990,Semi-Auto,1845,Petrol,145,31.4,2.0
 A1,2020,19990,Manual,4000,Petrol,145,47.9,1.0
 Q2,2019,19990,Manual,1500,Petrol,145,47.1,1.0
 Q5,2016,19000,Manual,23314,Petrol,240,37.2,2.0
 A3,2018,25489,Semi-Auto,18478,Petrol,145,43.5,2.0
 A5,2015,15489,Manual,37026,Petrol,145,49.6,1.8
 TT,2016,16289,Manual,22688,Petrol,145,47.1,1.8
 A3,2017,22689,Semi-Auto,28151,Petrol,160,43.5,2.0
 Q5,2017,35989,Semi-Auto,37624,Petrol,145,34.0,3.0
 A6,2018,23489,Semi-Auto,9452,Petrol,145,47.9,1.8
 Q3,2017,19350,Semi-Auto,41887,Diesel,145,55.4,2.0
 Q7,2018,44999,Automatic,16725,Diesel,145,32.8,3.0
 A6,2014,12498,Manual,44219,Diesel,30,62.8,2.0
 A5,2016,20498,Semi-Auto,46512,Petrol,260,35.8,3.0
 A1,2015,11298,Manual,43512,Petrol,30,56.5,1.4
 A5,2017,21898,Semi-Auto,23572,Diesel,145,70.6,2.0
 Q3,2015,17998,Manual,25719,Diesel,160,49.6,2.0
 A6,2016,19298,Semi-Auto,32951,Diesel,30,58.9,2.0
 Q2,2019,19498,Manual,10556,Petrol,145,42.8,1.5
 A6,2016,19998,Semi-Auto,29067,Diesel,30,61.4,2.0
 A1,2015,10598,Manual,26300,Diesel,0,80.7,1.6
 A1,2020,21888,Semi-Auto,3500,Petrol,145,44.8,1.5
 A1,2020,22290,Semi-Auto,402,Petrol,145,44.8,1.5
 A3,2013,8498,Manual,58867,Petrol,125,53.3,1.4
 A4,2016,14998,Manual,33303,Diesel,20,72.4,2.0
 A1,2016,11200,Manual,29819,Petrol,0,67.3,1.0
 Q5,2015,23998,Semi-Auto,35520,Diesel,260,41.5,3.0
 Q5,2014,12995,Manual,55292,Diesel,205,47.9,2.0
 A4,2017,13888,Manual,30266,Petrol,125,53.3,1.4
 Q3,2018,19990,Manual,22465,Diesel,150,56.5,2.0
 A3,2017,18444,Manual,18541,Petrol,30,60.1,1.4
 Q2,2017,19888,Semi-Auto,37125,Petrol,125,52.3,1.4
 Q2,2018,22444,Semi-Auto,18258,Petrol,150,52.3,1.4
 A1,2017,12444,Manual,16438,Petrol,150,57.6,1.4
 Q5,2015,17498,Manual,51962,Diesel,200,47.9,2.0
 A1,2015,12798,Manual,26811,Petrol,30,58.9,1.4
 A5,2017,16498,Manual,68996,Diesel,30,64.2,2.0
 Q5,2016,28498,Semi-Auto,46843,Diesel,235,42.2,3.0
 A6,2016,16498,Manual,62668,Diesel,30,61.4,2.0
 TT,2016,16650,Manual,33000,Petrol,160,46.3,2.0
 TT,2016,16490,Manual,40601,Diesel,30,61.4,2.0
 A6,2017,19190,Semi-Auto,43000,Diesel,30,61.4,2.0
 A3,2017,17250,Manual,23694,Petrol,145,60.1,1.4
 A3,2017,18990,Manual,21130,Diesel,145,65.7,2.0
 Q5,2019,49990,Automatic,6000,Diesel,145,34.5,3.0
 A1,2019,18888,Automatic,4000,Petrol,145,46.3,1.0
 Q3,2019,26999,Semi-Auto,6500,Diesel,145,48.7,2.0
 R8,2019,129000,Semi-Auto,4000,Petrol,145,21.4,5.2
 A1,2020,22888,Semi-Auto,4000,Petrol,145,44.8,1.5
 Q5,2020,46450,Semi-Auto,3500,Hybrid,135,117.7,2.0
 Q2,2017,17490,Manual,7898,Petrol,125,52.3,1.4
 A1,2020,19490,Manual,1500,Petrol,145,48.7,1.0
 Q2,2017,20490,Manual,4653,Petrol,145,50.4,1.4
 Q2,2017,17990,Manual,18365,Petrol,145,52.3,1.4
 A3,2015,13995,Semi-Auto,45300,Diesel,125,58.9,2.0
 Q3,2017,20495,Manual,20250,Diesel,145,54.3,2.0
 A3,2017,17990,Semi-Auto,25335,Petrol,30,56.5,1.4
 A6,2017,27990,Automatic,22631,Diesel,145,50.4,3.0
 Q3,2014,12040,Semi-Auto,56601,Diesel,200,47.9,2.0
 A5,2013,10440,Manual,50124,Diesel,30,61.4,2.0
 Q3,2014,13798,Manual,26782,Petrol,235,38.7,2.0
 Q3,2015,14298,Manual,38430,Diesel,145,56.5,2.0
 Q2,2017,20698,Manual,8642,Petrol,145,50.4,1.4
 A4,2019,24998,Semi-Auto,12482,Petrol,145,38.2,2.0
 A4,2019,24998,Semi-Auto,9880,Petrol,145,38.2,2.0
 A4,2017,16998,Manual,4734,Petrol,145,52.3,1.4
 A4,2016,15998,Manual,34581,Diesel,30,67.3,2.0
 A4,2018,19798,Manual,13798,Petrol,145,51.4,1.4
 A6,2017,20998,Semi-Auto,31232,Diesel,150,58.9,2.0
 Q3,2017,19498,Manual,20110,Petrol,145,51.4,1.4
 Q5,2015,19698,Manual,39056,Diesel,200,47.9,2.0
 Q3,2015,13998,Manual,36964,Diesel,30,61.4,2.0
 A4,2013,9298,Manual,72011,Diesel,30,64.2,2.0
 A6,2017,19798,Semi-Auto,12623,Diesel,150,64.2,2.0
 A5,2017,23790,Semi-Auto,29668,Petrol,145,45.6,2.0
 Q3,2015,19995,Semi-Auto,26540,Petrol,205,40.4,2.0
 A4,2014,9995,Manual,67054,Diesel,30,61.4,2.0
 A4,2013,12495,Semi-Auto,51000,Diesel,150,53.3,2.0
 A1,2016,10495,Manual,43000,Petrol,0,67.3,1.0
 A3,2015,12998,Manual,66088,Diesel,20,67.3,2.0
 A1,2015,14180,Manual,58223,Petrol,235,39.8,2.0
 A8,2015,19230,Automatic,35361,Diesel,200,48.7,3.0
 A4,2016,16050,Manual,25276,Diesel,30,67.3,2.0
 A4,2017,20690,Semi-Auto,13000,Diesel,145,62.8,2.0
 A4,2017,18990,Automatic,22467,Petrol,145,50.4,2.0
 A4,2019,26490,Semi-Auto,9461,Diesel,145,47.9,2.0
 A3,2019,20890,Semi-Auto,12930,Petrol,145,42.2,1.5
 A6,2019,34750,Semi-Auto,774,Diesel,145,39.8,3.0
 A6,2016,24490,Semi-Auto,39507,Diesel,160,50.4,3.0
 A1,2015,11250,Manual,52539,Petrol,30,55.4,1.4
 A1,2013,8490,Manual,56884,Petrol,125,52.3,1.4
 TT,2016,15763,Manual,22883,Petrol,160,46.3,1.8
 A4,2017,18298,Manual,24523,Diesel,30,67.3,2.0
 Q3,2017,18698,Manual,22195,Petrol,145,49.6,1.4
 A4,2018,17298,Manual,13972,Petrol,145,52.3,1.4
 Q3,2016,17498,Manual,29602,Diesel,145,52.3,2.0
 Q5,2015,18498,Semi-Auto,48603,Diesel,200,47.1,2.0
 A4,2017,16498,Manual,12882,Petrol,145,52.3,1.4
 Q5,2017,27498,Semi-Auto,65145,Diesel,235,42.2,3.0
 Q5,2019,34998,Semi-Auto,35,Petrol,145,32.1,2.0
 A4,2018,16498,Manual,19934,Petrol,145,52.3,1.4
 Q2,2019,23444,Manual,5624,Petrol,145,43.5,1.5
 TT,2019,32888,Automatic,4550,Petrol,145,37.2,2.0
 A6,2016,16450,Semi-Auto,44887,Diesel,20,64.2,2.0
 Q3,2019,35888,Semi-Auto,1856,Diesel,145,45.6,2.0
 Q3,2015,17998,Semi-Auto,30837,Diesel,160,50.4,2.0
 A6,2018,21498,Semi-Auto,32383,Diesel,145,61.4,2.0
 Q5,2015,19998,Semi-Auto,32424,Diesel,200,47.1,2.0
 A4,2017,17998,Manual,21177,Petrol,145,51.4,1.4
 A3,2017,13395,Manual,38000,Petrol,145,60.1,1.4
 A3,2014,11995,Automatic,26600,Petrol,20,60.1,1.4
 A3,2017,20995,Semi-Auto,9975,Petrol,145,47.9,2.0
 A3,2016,10498,Manual,68294,Diesel,0,74.3,1.6
 Q3,2016,14498,Manual,29744,Diesel,30,61.4,2.0
 TT,2015,14998,Manual,41319,Diesel,20,67.3,2.0
 A6,2016,19998,Semi-Auto,29738,Diesel,30,61.4,2.0
 A3,2016,10298,Manual,67959,Diesel,0,74.3,1.6
 Q3,2017,18498,Semi-Auto,17013,Petrol,145,47.9,1.4
 A1,2013,9600,Semi-Auto,58573,Petrol,125,53.3,1.4
 A6,2016,14998,Semi-Auto,54813,Diesel,30,64.2,2.0
 A4,2017,19298,Manual,14290,Petrol,145,51.4,1.4
 A4,2018,18998,Manual,20298,Petrol,145,51.4,1.4
 A6,2015,18598,Semi-Auto,38967,Diesel,125,58.9,2.0
 A1,2016,11298,Manual,39021,Petrol,30,55.4,1.4
 A6,2014,14495,Semi-Auto,57842,Diesel,30,61.4,2.0
 A4,2013,12495,Automatic,45582,Petrol,200,40.4,2.0
 Q2,2019,17295,Manual,16047,Petrol,145,47.1,1.0
 A5,2014,12495,Manual,44980,Diesel,145,55.4,2.0
 A5,2015,12995,Manual,41667,Petrol,145,48.7,1.8
 Q5,2018,27991,Semi-Auto,24441,Diesel,145,48.7,3.0
 A6,2014,12498,Manual,68180,Diesel,30,62.8,2.0
 A4,2016,13498,Manual,30090,Petrol,125,53.3,1.4
 A5,2016,19298,Manual,17272,Diesel,125,57.6,2.0
 A6,2016,18498,Semi-Auto,53832,Diesel,30,61.4,2.0
 A4,2016,13998,Semi-Auto,47791,Diesel,0,72.4,2.0
 A6,2016,20498,Semi-Auto,30451,Diesel,200,47.1,3.0
 A5,2016,23998,Semi-Auto,14991,Diesel,160,50.4,2.0
 A4,2017,17698,Manual,32512,Diesel,30,67.3,2.0
 A4,2016,13498,Manual,47350,Diesel,20,70.6,2.0
 A3,2014,10998,Manual,53664,Petrol,30,57.6,1.2
 A3,2016,8698,Manual,37123,Diesel,20,72.4,1.6
 A5,2015,15798,Semi-Auto,41781,Diesel,125,58.9,2.0
 A4,2017,16998,Manual,34870,Petrol,145,51.4,1.4
 A7,2014,19998,Semi-Auto,40473,Diesel,235,44.8,3.0
 A4,2018,21498,Semi-Auto,16473,Petrol,145,49.6,1.4
 A3,2019,21450,Automatic,3690,Petrol,145,44.8,1.5
 A3,2019,19888,Manual,6161,Diesel,145,56.5,2.0
 Q7,2016,30998,Semi-Auto,52793,Diesel,200,47.9,3.0
